id;Cup;Cm;Rm;Ra;Tau;Hold;Rest_Potential;–Ã–Ï‡ı;Slope;Decay;PDS_time;AHP_PDS;Type_PDS;Amp_Spike_PDS;Time_to_spike_PDS;Num_of_PDS;–Ã–Ïin;PDS_cluster_time;AHP_PDS;Time_bitwen_PDS;sag;Delta_sag;first_spike;Lag;apl_spike;max_spike;AHP_spike
113;107;56.01;520.1;56.3;2.9;1.8;-67.93;50.9;1459.71;-100.02;0.19;-10.09;3;105.08;0.01;6;32.05;0.99;-2.7;11.4;-51.31;-15;-56.45;0.07;98.47;23;-11.55
114;108;60.52;442.1;46.1;2.6;-3.4;-73.81;51.25;1090.17;-80.19;0.38;-16.57;3;101.11;0.018;2;24.23;0.67;-3.32;94.18;-52.64;-6.85;-60.54;0.02;88.45;35;0
115;109;85.94;191.8;36.4;2.6;1.4;-71.31;60.16;3410.17;-100.16;0.01;-48.99;1;95.33;0.011;4;-47.24;0.96;-4.3;32.14;-34.42;-1.28;-53.17;0.04;87.14;3;-7.11
116;110;102.8;238.6;34.5;3;-14.4;-65.56;47.89;1329.81;-68.58;0.16;-10.84;2;101.2;0.011;8;-21.77;1.42;-3.23;12.5;-31.01;-0.59;-54.83;0.18;105.46;7;-8.51
117;111;183.7;164.01;28.8;4.5;-9.8;-72.44;46.91;1023.27;-464.87;0.15;-2.84;2;104.01;0.018;12;-24.79;2.06;-3.75;32.1;-48.6;-0.35;-56.68;0.69;83.71;10;-29.83
118;112;56.12;520.2;56.5;2.9;1.8;-68.53;49.96;1550.18;-101.84;0.19;-11.45;3;114.98;0.01;6;-30.78;0.96;-2.75;11.4;-51.74;-15.61;-56.11;0.07;94.44;23;-11.57
119;113;142.67;221.61;36.7;4.5;1.5;-71.62;57.76;825.47;-125.22;0.36;-14.37;1;110.06;0.014;2;-17.43;0.55;-2.5;20.31;-44.32;-0.2;-54.77;0.32;109.31;11;-1.95
120;114;100.78;239.7;34.5;3;-1.3;-64.54;48.01;1322.79;-70.99;0.16;-8.29;2;122.21;0.011;8;-21.32;1.4;-3.27;12.5;-31.1;0.84;-53.25;0.08;108.67;8;-8.11
121;115;184.07;168.2;30.9;4.5;-2.8;-73.45;47.81;1033.26;-444.27;0.15;-3.87;2;113.31;0.018;11;-25.25;2;-4.21;32.1;-49.35;-1.27;-57.54;0.67;79.86;9;-30.1
122;116;56.12;520.61;55.3;2.9;1.8;-67.73;50.85;1460.68;-98.87;0.19;-12.79;3;105.78;0.019;6;-31.29;0.9;-2.15;11.4;-51.89;-15.5;-55.1;0.05;99.96;24;-11.49
123;117;142.7;221.62;36.4;4.5;1.5;-71.62;56.56;819.44;-109.22;0.36;-15.51;1;119.16;0.014;2;-17.29;0.49;-2.47;20.31;-44.51;0.94;-53.79;0.31;109.45;11;-1.67
124;118;213.84;154.2;24.4;4.5;1.9;-71.78;62.68;4241.25;-329.83;0.21;-41.5;1;129.91;0.0095;4;-49.38;0.99;-4.94;11.16;-23.77;-1.25;-63.05;0.89;126.09;10;0
125;119;140.23;242.6;37;4.5;1;-72.69;57.62;2023.28;-797.77;0.16;-46.51;1;124.82;0.014;5;-59.89;1.07;-0.1;8.33;-31.74;-3.11;-64.94;0.14;123.23;6;-6.16
126;120;83.48;462.3;46.5;3.5;2.8;-58.9;43.4;4180;-194.45;0.17;-41.36;3;112.67;0.006;5;-41.56;1.37;-1.71;9.23;-41.56;-10.08;-52.25;0.04;110.35;38;-7.57
127;121;121.01;229.81;20.1;2.4;16.5;-72.52;60.99;4059.72;-499.88;0.14;-29.19;1;122.64;0.015;6;-48;1.32;-1.44;8.93;-31.46;-2.99;-63.57;0.81;125.31;5;0
128;122;191.18;165.3;27.1;4.5;2;-73.52;58.21;3078.72;-167.51;0.2;-51.38;1;130.41;0.013;4;-55.2;1.21;-0.57;7.39;-30.12;-0.3;-65.6;0.45;129.12;5;0
129;123;127.25;150.1;31.9;3.3;3.1;-73.01;59.29;3341.87;-141.11;0.17;-22.8;1;120.69;0.005;7;-46.93;1.22;-2.57;35.58;-31.32;-3.59;-56.24;0.43;100.9;18;-8.4
130;124;163.31;125.1;23.7;3.3;6.2;-73.62;57.29;2694.67;-76.52;0.13;-25.78;1;115.97;0.012;7;-50.95;1.16;-2.44;34.02;-25.45;-0.54;-59.01;0.47;110.9;16;0
131;125;140.2;242.5;36.9;4.5;1;-72.71;57.72;2023.28;-800.13;0.16;-46.51;1;125.82;0.014;5;-60.12;1.01;-0.09;8.33;-31.27;-2.64;-65.65;0.14;124.25;6;-6.11
132;126;83.4;462.31;46.4;3.5;0.8;-58.91;43.5;4130.45;-184.45;0.17;-42.43;3;110.07;0.006;5;-41.13;1.32;-2.01;9.23;-41.13;-9.65;-51.25;0.04;110.35;39;-7.3
133;127;126.1;224.1;21.9;2.4;0.5;-72.52;60.22;4001.11;-500.08;0.14;-28.89;1;120.48;0.018;6;-48.45;1.22;-1.34;8.93;-31.41;-3.29;-63.05;0.85;124.25;5;0
134;128;191.9;161.1;27.3;4.5;0.4;-73.51;57.23;3002.18;-165.53;0.18;-51.23;1;131.21;0.013;4;-55.84;1.02;-0.52;7.39;-30.35;-0.96;-66.21;0.45;130.02;5;0
135;129;99.51;235.45;53.7;4.5;1.7;-73.01;61.44;3115.45;-602.02;0.27;-71.53;1;119.19;0.012;4;-58.67;0.9;1;5.75;-41.54;-0.65;-56.91;0.04;103.65;11;0
136;130;214.34;153.2;24.4;4.5;0.9;-71.38;62.75;4251.85;-330.13;0.21;-41.57;1;130.01;0.009;4;-49.41;1;-4.94;11.16;-23.77;-0.9;-63.75;0.9;126.46;10;0
137;131;150.23;232.6;37.5;4.5;0.1;-72.49;57.59;2079.55;-800.17;0.16;-45.52;1;124.82;0.014;5;-60;1.05;-0.1;9.34;-31.74;-3.63;-64.94;0.14;123.02;6;-6.52
138;132;56;522.3;56.4;2.9;1.8;-68.3;51.04;1461.68;-101.81;0.2;-11.14;3;105.08;0.019;7;-31.08;1;-2.75;18.48;-51.9;-15.48;-55.98;0.06;102.05;24;-11.6
139;133;142.98;221.12;36.7;4.5;1.5;-70.65;56.56;820.44;-114.25;0.35;-15.24;1;119.06;0.015;3;-17.35;0.61;-2.5;29.31;-44.56;-0.42;-54.29;0.31;110.32;11;-2.1
140;134;62.2;425.1;46.2;2.6;-3.4;-73.96;51.12;1187.57;-78.88;0.4;-15.7;3;102.06;0.019;2;-24.25;0.66;-3.42;74.15;-52.8;-8.46;-60.28;0.04;90.54;36;0
141;135;86.01;190.15;36.5;2.6;1.4;-71.23;60.22;3470.58;-101.15;0.01;-50.47;1;96.55;0.019;6;-47.25;1.2;-4.33;35.19;-34.48;-1.06;-54.46;0.03;88.75;3;-7.51
142;136;159.21;200.1;32.8;4.2;-3.2;-71.43;67.24;4415.95;-70.49;0.2;-39.01;1;134.11;0.014;6;-14.01;1.7;-4.35;32.48;-29.48;-1.72;-69.78;0.31;133.57;16;0
143;137;63.01;200.1;65.4;3.7;-2.2;-70.48;52.41;3550.45;-82.8;0.24;-63.56;3;105.53;0.005;9;-36.13;1.61;-6.23;19.93;-43.79;-6.65;-62.42;0.12;116.75;25;-26.4
144;138;100.82;351.2;51.3;4.5;3.4;-75.48;55.51;3151.92;-619.5;0.14;-51.33;2;125.16;0.008;6;-50.17;1.42;-1.16;8.85;-40.95;-2.83;-68.13;0.75;114.32;12;-13.41
145;139;172.21;115.1;23.2;3.3;6.2;-74.61;58.34;2678.55;-76.57;0.14;-25.69;1;116.43;0.012;7;-48.91;1.14;-2.4;35.12;-25.33;-1.04;-59.35;0.39;111.46;17;0
146;139;126.3;150;31.1;3.3;3.1;-72.96;60.41;3239.12;-150.11;0.17;-21.98;1;115.45;0.005;7;-45.43;1.15;-2.53;35.58;-31.77;-4.37;-58.21;0.43;101.45;19;-8.48
147;139;163.32;125;23.3;3.3;6.2;-73.64;58.27;2574.53;-80.54;0.13;-26.01;1;117.73;0.012;7;-49.76;1.11;-2.53;34.02;-25.45;-1.16;-60.39;0.45;111;16;0
148;139;142.99;220.6;36.8;4.5;1.5;-71.12;56.74;911.54;-110;0.35;-13.48;1;121.77;0.014;7;17.93;0.57;-2.57;34.31;-44.16;0.29;-54.25;0.32;108.38;11;-1.68
149;139;130.25;149.12;32.8;3.3;3.1;-73.84;62.42;3340.12;-150.01;0.17;-22.09;1;120.15;0.007;7;-45.36;1.2;-2.48;35.58;-31.87;-4.52;-56;0.43;101.01;17;-8.39
150;139;162.31;125.1;23.8;3.3;6.2;-74.61;58.21;2674.59;-76.61;0.13;-25.53;1;115.34;0.012;7;-50.1;1.2;-2.46;34.02;-24.99;-0.78;-59.53;0.44;111.21;17;0
